,type,districttype,tags,title,text
192,plan,,,Saginaw/Shiawassee COI ,"West Saginaw County and north Shiawassee County share a community of interest. It’s a balance of small towns, rural areas, rural/suburban areas, and farming communities. Please keep these areas together in the state house district. "
193,plan,senate,"kent,grand rapids charter township,grand rapids city,alpine township,plainfield township,byron township,grandville city,walker,rockford city,algoma township,east grand rapids city,kentwood city,wyoming city,gaines township,sparta township",State Senate - Kent County,"I propose two urbanized State Senate districts in Kent County, each with a population near the average Senate district population of 265,380 (according to 2019 Census estimates). The northern district includes the City of Grand Rapids north of Hall Street, as well as three other cities and five townships. The southern district includes Grand Rapids south of Hall Street, as well as three suburbs and two townships.  While it is difficult to draw a ""majority-minority"" Senate district in West Michigan, the southern district in my plan is 33% non-white (according to Districtr). That's no surprise to those of us who live here. The Southeast Side and Southwest Side of Grand Rapids are both very diverse. Wyoming and Kentwood have a bevy of Latinx, Black, and Asian-American residents, some of whom are refugees or descendants of refugees. Byron and Gaines townships are becoming more diverse, as is Grandville. Located in Gaines Township, East Kentwood High School is the most diverse high school in all of Michigan! (Go Falcons!)  The northern district is, on the whole, slightly more affluent and less diverse than the southern district; however, the cities and townships in this district are also primarily urbanized and part of Greater Grand Rapids.  These districts also meet constitutional requirements relating to compactness, contiguity, and consideration of city and township boundaries. The districts do not favor or disfavor any party or incumbent; Hillary Clinton and Donald Trump each got a similar share of the vote in each district in 2016. Having two competitive districts in Kent County will ensure that candidates and political parties are responsive to the needs and concerns of West Michiganders."
194,plan,senate,"kent,grand rapids city,west michigan",https://districtr.org/plan/26077,"I propose two urbanized State Senate districts in Kent County, each with a population near the average Senate district population of 265,380 (according to 2019 Census estimates). The northern district includes the City of Grand Rapids north of Hall Street, as well as three other cities and five townships. The southern district includes Grand Rapids south of Hall Street, as well as three suburbs and two townships.  While it is difficult to draw a ""majority-minority"" Senate district in West Michigan, the southern district in my plan is 33% non-white (according to Districtr). That's no surprise to those of us who live here. The Southeast Side and Southwest Side of Grand Rapids are both very diverse. Wyoming and Kentwood have a bevy of Latinx, Black, and Asian-American residents, some of whom are refugees or descendants of refugees. Byron and Gaines townships are becoming more diverse, as is Grandville. Located in Gaines Township, East Kentwood High School is the most diverse high school in all of Michigan! (Go Falcons!)  The northern district is, on the whole, slightly more affluent and less diverse than the southern district; however, the cities and townships in this district are also primarily urbanized and part of Greater Grand Rapids.  These districts also meet constitutional requirements relating to compactness, contiguity, and consideration of city and township boundaries. The districts do not favor or disfavor any party or incumbent; Hillary Clinton and Donald Trump each got a similar share of the vote in each district in 2016. Having two competitive districts in Kent County will ensure that candidates and political parties are responsive to the needs and concerns of West Michiganders."
195,plan,,"grand rapids city,kent,senate",Grand Rapids Senate District,This district is within the County and retains the communities of interest held in common  between northeast Grand rapids and Plainfield and northwest Grand Rapids and Walker.  Grand Rapids is a metro area part of the Six Cities community.  These areas have a lot in common with each other and I strongly associate with them.  North and West of this area are areas which I have much less in common.
196,plan,senate,,KentCounty State Senate,redraws state senate seat to keep Grand Rapids Metro areas together
197,plan,,"kent,kentwood city,grand rapids city,east grand rapids city,grand rapids charter township,kent county",State senate: diversity of GR metro,"I’m a resident of Southeast Grand Rapids, and I strongly support having state senate districts that accurately represent the Grand Rapids metro area and our unique and diverse populations. My proposed state senate district centers around the south part of Grand Rapids, the city of Kentwood, the city of East Grand Rapids, and Grand Rapids Township.   As a resident of SE Grand Rapids, we have a diverse population that is closely aligned with neighboring cities - I spend more time in Kentwood or East Grand Rapids than I do in the Northwest part of Grand Rapids. This state senate district also represents the unique diversity of our area. Kentwood is an incredibly diverse city, pairing well with the large Black and Hispanic populations in the south of Grand Rapids City. Splitting Grand Rapids City by the north and south allows for two state senate districts that are more representative for the entire metro region,  and allow better representation for minority populations in the various cities of the metro.   This senate map would allow for more effective representation of minorities in our community, and a state house map that also combines Kentwood and south Grand Rapids would continue to highlight the diversity of our area. "
198,plan,,"kent,grand rapids city,house",Kent County House Districts,This keeps all of the house districts within Kent County and keeps the six cities together.  These communities have a great deal in common with each other and they don't have much in common with the areas outside that area.
199,plan,,,Urban Township/City Plan,"Grand Rapids Township belongs in a district with Grand Rapids and East Grand Rapids. They are our neighbors. We use their business areas. We shop their stores. We uses their roads to work  and play. Currently we are in a district with Oakfield and Spencer Townships. These are rural areas which are miles away  and very different from our urban township. And Grand Rapids Township is becoming more urban every day.   Furthermore, in my current district I have never been represented by an official that reflects the more urban nature of where I live. We should be included with an area like Kentwood, communities that more reflect our urban interests. Please keep the more metropolitan areas together.  "
200,plan,house,"grand rapids city,east grand rapids city,kentwood city,diversity,metro,house,senate,kent county",State house: Keep metro GR together,"Thank you for the time and effort you are putting in to re-drawing our district lines to reflect our community more fairly and logically. I live on the southeast side of the City of Grand Rapids in a neighborhood called Eastown. I’ve lived in Eastown for almost 12 years. I was born and raised in the City of East Grand Rapids, moved away for school and returned 12 years ago. I have two children who are 10 and 7 years old. I practice immigration law and love that I live in such a diverse area of the state, where people feel welcome. That said, we very specific issues that affect our metro area more than others, like affordable housing and access to world class education for all of our kids.  My request is this: please keep metro Grand Rapids together. The map that I’m submitting shows that the city of Grand Rapids can easily be divided into two State House seats, capturing folks on the northside and southside.   Eastown borders several communities that have rich histories and connections to each other. For example, my children attended childcare at Baxter Community Center, which is located just a few blocks west of our house. Baxter is an incredibly diverse neighborhood and holds strong connections to the African American community. One of our favorite places to walk to go out to eat is the East Hills neighborhood, where we can enjoy both old and new restaurants and bars. My kids love to swim at the MLK park swimming pool in the Ottawa Hills neighborhood – again just blocks away. The kids have played soccer through the GR in Parks and Recreation league at McKay-Jaycees Park, which is on the southern-most border of the City of Grand Rapids. In short: our lives are here in southern Grand Rapids. It is imperative that we have a Representative who lives in south Grand Rapids so that they can better represent our unique interests, population, and needs.  When it comes to the Senate districts, it makes sense to keep the following three cities together, as they encompass the southern metro areas that seamlessly interact with each other: City of Grand Rapids, City of East Grand Rapids, and Kentwood. For example, my mom still lives in the same house where I grew up in East Grand Rapids. I love to take my boys to my mom’s house to visit. It takes us less than 10 minutes to ride our bikes from our house to hers. It’s about 4 minutes by car. The lines between GR and EGR are barely discernable and we feel as much a part of my mom’s street as we do our own, just a mile or so away. When can't buy something locally, we do our shopping primarily in Kentwood. It's close and convenient to us who live on the southside of Grand Rapids.  Thank you for ensuring that we have more fair and equitable representation in Lansing and DC."
201,plan,house,,Muskegon's equitable plan,A more equitable division of our two state house seats.  
202,plan,senate,,Lakeshore Senate Seat,Muskegon has more in common with other lakeshore communities than they do with rural inland areas like Newaygo.  
203,plan,senate,"mbs,tri-cities,mbs-tri-cities",MBS-Tri-Cities,"To the Michigan Redistricting Commission:  As we look to Michigan’s 32nd senate district, there are several reasons this district must be redrawn. Historically, Saginaw, Midland and Bay City have been known as the Tri-cities. Three communities working together, pooling resources for mutual benefit has and should continue to be our moniker.   In the content below you will find that these communities share a mutual benefit of being enveloped into one state senate district. These three communities share a community college (Delta College), a regional-tri-city airport (MBS) and of paramount importance, these communities share vital water infrastructure that serves the needs of the citizens and thousands of local and large businesses (SMMWSC).  Our community will cite the historic, cultural, and the economic impact that we all share from these anchor institutions.   Michigan’s 32nd senate district should include Bay City, the City of Midland and the City of Saginaw for because they hold numerous vital communities of interest:   Delta College Serving Saginaw, Midland and Bay City  Content provided by Delta.edu -Educational Community of Interest   Through the collaboration and innovation of 300 civic-minded individuals who saw the need  for a top-quality community college in mid-Michigan, Delta College was created to serve Bay, Midland and Saginaw counties. Delta College opened in 1961 with 2,600 students, and now enrolls about 9,000 annually. Students range from high school students taking dual-enrollment classes to older adults returning to college to enhance their skills. Today, Delta continues to value collaboration and innovation as we lead the way in community college education. From our involvement as a founding member in the League for Innovation in the Community College to our commitment to Achieving the Dream as a Leader College, Delta College continues to learn and grow as we encourage our students to do the same. The main campus has been expanded and renovated a number of times throughout the years as we continue to offer students the best learning equipment and technology available. And to provide more convenience, Delta College has established three centers in Bay City, Midland and Saginaw.        MBS Airport – (Midland, Bay City and Saginaw)  Content provided from MBSAIRPORT.ORG       Economic and Historic Community of Interest In the 1930s, a plan to develop an airport to serve the Saginaw Valley and surrounding communities led to the development of Tri-City International Airport, known since 1994 as MBS International Airport. In 1941, a square mile of property was purchased by the cities of Midland and Saginaw and Bay County, in order to build an airport large enough to meet the anticipated needs of the area. However, our country was at war, and wartime needs took precedence. National leaders feared that Detroit Airport, where combat aircraft were being built, could be a target for bombing. As a result, the federal government took over MBS International Airport and added more land, runways and taxiways so that fighter aircraft could be stationed there, if needed, to intercept bombers en route to Detroit. The airport infrastructure benefited significantly from this early infusion of federal dollars. And although MBS International Airport was never needed as an alternative World War II airfield base, it was used for a time as a Prisoner of War Camp, housing thousands of Hitler’s troops. On September 19, 1943, Brig. Gen. Hoyt S. vandenBerg, who was deputy chief of staff of the U.S. Army Air Corps, dedicated the airport before one of the largest audiences in Tri-City history. On June 1, 1946, the airport commission resumed full responsibility of MBS on behalf of the three owning communities, and the airport was opened to commercial aircraft.  In 2005, The Boyd Group International, Inc., an aviation research, forecasting and consulting firm based in Evergreen, Colorado, studied MBS International Airport’s economic impact on the area. The airport’s economic benefit to Midland, Bay and Saginaw counties was estimated to be more than $100 million annually. The direct impact of jobs and property-related revenues was estimated at more than $50 million annually. The report also calculated the savings in time and cost to local users of MBS versus other airports at more than $7 million annually.  The full economic impact study can be found at: http://www.mbsairport.org/pdfs/economic_impact_study.pdf  City of Saginaw & City of Midland Water Cooperative   Economic, Historic, and Cultural Community of interest  Content provided by the City of Midland’s website: Saginaw-Midland Municipal Water Supply Corporation “The Saginaw-Midland Municipal Water Supply Corporation (SMMWSC), organized in 1946, operates under Act 233 of Michigan Public Acts of 1955, as a non-profit municipal corporation providing raw Lake Huron water to its owners, the cities of Saginaw and Midland. The corporation is a Michigan Type 1 Public Water Supply and operates within the rules and regulations of Michigan's Safe Drinking Water Act 399 P.A. 1976, as amended. The corporation provides limited treatment and basic disinfection of Lake Huron water before it is transmitted to households, businesses and industry. This high-quality, reliable raw water service has been provided to customers in mid-Michigan for more than 50 years.” Content provided by the City of Saginaw’s website: The City of Saginaw owns and operates a world class water system. This system has been in existence for more than 90 years. Originally the source was the Saginaw River. However, in 1946, understanding the need for an abundant, consistently high quality raw water source, Saginaw in partnership with the City of Midland formed the Saginaw Midland Municipal Water Supply Corporation (SMMWSC). SMMWSC chose Whitestone Point as the location to build an intake into Lake Huron. Whitestone Point is located 8 miles North of AuGres, approximately 65 miles from each city. The original system design was for a maximum pumping capacity of 43 million gallons per day (MGD) of which Saginaw would receive 23 million and Midland 20 million. The total cost of the original project was $10.3 million dollars. Over the course of the last 70 years many upgrades have been made to the system. The present day design has a maximum capacity of 115 MGD with an estimated cost to duplicate of $430 million dollars. Because of the foresight of the leaders of both cities, Saginaw and Midland benefit from having one of the best raw water sources in the world. The Great Lakes contain one fifth of the world's fresh water supply. This great source water is pumped daily to both Cities where treatment is provided to produce potable water. Potable water is water that does not contain objectionable pollution, contamination, minerals or infective agents and is considered safe for human consumption.  As you can see, this relationship between the Cities of both Saginaw and Midland has not only historic relevance but also economic benefit. In the fight for resources federally and in Michigan, these communities must be joined together for a fair opportunity for funding and capital infrastructure improvements.     Additional communities of interest for City of Midland, City of Bay City, and City of Saginaw:   Great Lakes Bay  https://www.gogreat.com/  Great Lakes Bay Regional Alliance  https://www.greatlakesbay.com/  "
204,plan,ush,, Asian American Community/Hamtramck COI,"My community of interest is the Asian American community of Hamtramck MI.  I grew up in Hamtramck and it’s home to many Bangladeshi Americans; it has a high concentration of Asian Americans and many other immigrant communities representing about 35% of the population. In recent years Asian Americans in Hamtramck have expanded into Detroit due to the high cost of housing, and limited access to affordable housing as the population has grown. I am asking that we include parts of Detroit in Hamtramck’s district.   One example of why the commission should include parts of Detroit with Hamtramck is the ability to service immigrant communities with better language access materials in native languages. There is a large demand for civic, health, and educational reading material in native languages, given the recent health crisis of the covid-19 pandemic, it has highlighted and uncovered the need for more language access throughout Hamtramck and parts of Detroit. Although my organization focuses on civic engagement in the last year we have worked in the community translating critical health information because this was not available through state or local government agencies.   This is just one example of resource needs that my community experiences on a daily basis.  The AAPI community trusts that you will hear our needs and consider them when you redraw the maps. We ask, as a community, that Hamtramck should be connected with Detroit's district.  Not doing so would be to the exclusion of the Asian American voices in Detroit and Hamtramck . I have submitted a map on the portal for your reference. I thank you for listening to me. "
205,plan,,,Kent Cty NW MI Representative District,"These communities are centered around the agriculture business of growing fruit like apples, cherries, peaches, etc.  The area starts on the southern end in Walker and progresses to the north through the small towns of Sparta, Kent City, and Casnovia to the northern border of Kent County on the western border of Kent County-mostly the current district 74.  We are a rural community with life, commerce, support business’s revolving around the fruit growing industry.  We are excited about tractor shows, country western bands and outdoor sports.  Typical issues are support of rural schools and accommodating migrant workers.  We enjoy the space around us and community bonding that a rural community provides.  This area provides the population and environment that A dedicated State Representative is needed to support our way of life. "
206,plan,,,Grandville-Wyoming Kent Cty District,"Suggesting that Grandville and Wyoming are an ideal combination of two of the main six cities in Grand Rapids City Metro Area for a State House of Representatives seat.  In these two adjacent cities, the constituency frequently interacts in work, shopping and education environments. Our communities have interconnecting transit services, school systems, utility services, and share many community services.  The population diversity compares favorably with the area and the medium income is average.  People in these cities are primarily working class living in a city neighborhood environment and are employed at labor intensive businesses in the area.  Ethnic diversity is very evident.  Periodically, we may travel to the adjacent Grand Rapids city for healthcare, concerts or shopping.  Typical issues in these communities are better schools, working wages and child care in support of working mothers."
207,plan,,,Kent Cty NW MI Representative District,"These communities are centered around the agriculture business of growing fruit like apples, cherries, peaches, etc.  The area starts on the southern end in Walker and progresses to the north through the small towns of Sparta, Kent City, and Casnovia to the northern border of Kent County on the western border of Kent County-mostly the current district 74.  We are a rural community with life, commerce, support business’s revolving around the fruit growing industry.  We are excited about tractor shows, country western bands and outdoor sports.  Typical issues are support of rural schools and accommodating migrant workers.  We enjoy the space around us and community bonding that a rural community provides.  This area provides the population and environment that A dedicated State Representative is needed to support our way of life. "
208,plan,,,Grandville-Wyoming Kent Cty District,"Suggesting that Grandville and Wyoming are an ideal combination of two of the main six cities in Grand Rapids City Metro Area for a State House of Representatives seat.  In these two adjacent cities, the constituency frequently interacts in work, shopping and education environments. Our communities have interconnecting transit services, school systems, utility services, and share many community services.  The population diversity compares favorably with the area and the medium income is average.  People in these cities are primarily working class living in a city neighborhood environment and are employed at labor intensive businesses in the area.  Ethnic diversity is very evident.  Periodically, we may travel to the adjacent Grand Rapids city for healthcare, concerts or shopping.  Typical issues in these communities are better schools, working wages and child care in support of working mothers."
209,plan,ush,,Common Sense Congressional Map,"This map is designed to keep communities of interest together while still respecting county and municipal boundaries. Additionally, the map seeks to be as compact as possible while still creating two majority African-American districts in metro detroit. Finally, the map maintains partisan balance with an element of competitiveness, as Democrats and Republicans can count on four districts each with five districts ""up for grabs"" in any given election cycle allowing for greater responsiveness. Population is equal as of 2019 ACS estimates, and more detail is provided at this link to a DRA map with minimal block level changes. https://davesredistricting.org/join/e5c0bb6e-2742-4d45-8af1-bfdd80f7e991.  The above map shows that you can create common sense, nice looking districts that are still fair to parties, demographic groups, and most importantly, individual citizens. Highlights include a northern Michigan 1st district with no county breaks, a Grand Rapids based 3rd district which combines Kent County with GR's closest suburbs in Ottawa County, a 7th district that binds together Flint and the Tri-Cities, and last but not least, a 5th district that finally unites the Lansing area. Metro Detroit is always tricky, but there are two clean majority Black districts to start from, an Ann Arbor district with that includes the similar communities of Livonia, Plymouth, Canton, and Northville and doesn't split Downriver, an inner ring northern suburban district, and an Oakland/Livingston suburban/exurban district that will be one of the top swing districts in America.   Don't overthink it! Let the geography do the work and approve an elegant map that the vast majority of citizens will be on board with."
210,plan,,,Compact Congressional District Plan,Redistricting should abide by the following guidelines. In order of priority: 1.	No more than a one percent population deviation between districts in each state. The split between districts should make the faster growing districts the lower population side of the split. (The faster growing districts will grow toward equality.) 2.	All districts must be geographically compact. 3.	Minimize the splitting of political subdivisions. No more than one municipality should be split in a district. 4.	Minimize the splitting of school districts. 5.	Minimize the change from previous district boundaries. 6.	Minimize the number of media markets in the districts. 7.	Natural geographical features and barriers should be respected.  This program could not account for most of these criteria. This map is a simple example of compact districts. Compact as far as possible given the need to closely balance district populations. I tried to minimize the division of counties and cities. But I am not from MI and did not take the time to research the actual boundaries. I used the lines given on the map. I did not take race or party affiliation into consideration.  Redistricting should be neutral so that citizens are picking their representatives instead of politicians or interest groups picking their voters.
211,plan,,,Jennifer Fairfield State Senate District,This State Senate District combines all of Jackson County and portions of Washtenaw County. Please see my written testimony for an explanation of why I feel this district is appropriate.
212,plan,,,Jennifer Fairfield State Senate District,
213,plan,,,Saginaw/Shiawassee COI,"Western Saginaw and Shiawassee share a community of interest. We have many small towns, rural framing communities,  and rural/suburban communities, our sports teams play together as well. Please consider a map like the one I’ve drawn. Or at least consider keeping Shiawassee County and parts of Saginaw County together as a state house disrict. "
214,plan,,,Updated Saginaw/Shiawassee COI ,"Please ignore my first submission. I incorrectly added a portion to the district that was not contiguous with the rest of the district.  I would also like to add that the towns along the M-52 corridor are a community of interest. This would include Shields, St. Charles, Chesaning, Oakley, Henderson, and Owosso. "
215,plan,,"shiawassee,eaton,clinton,saginaw ",Shiawassee/Clinton/Eaton/Saginaw Senate,"The current State Senate district includes Clinton, Eaton, and Shiawassee Counties. We have a strong connection and a Community of Interest which includes small towns, farming communities, and rural suburban areas that have specific needs. Part of Saginaw County could be included in the district to meet the maximum population requirement. "
216,plan,,,My congressional district plan,
217,plan,senate,,Equal and Competitive MI Sen. Districts,"The maximum population deviation of this plan is 0.79% so districts are nearly equally sized comporting with Reynolds v. Sims (1964), the decision in which  Chief Justice Earl Warren noted ""Legislators represent people, not trees or acres. Legislators are elected by voters, not farms or cities or economic interests.""   Using the 2016 election data, there are four districts where one party has a less than 1% advantage and five more districts that fall within 5% of each other.  More competitive districts should serve to check extremist candidates.  There are three majority minority districts: 29, 31, and 32."
218,plan,,,Rick Ross: Shiawassee State House ,"Shiawassee County shares a Community of Interest (COI) with the towns along M-52 (Chesaning, St. Charles, Oakley) in Saginaw County. Right now St. Charles and Swan Creek  Townships are not a part of the 85th House District. It would make sense that the existing district should remain the same with only a few additions of towns or townships that are similar and have common needs/interests. Regardless of what townships are included in the final map, Shiawassee County and the rural western portion of Saginaw County share a community of interest. "
219,plan,,,Rick Ross: Shiawassee Senate District ,The current 24th Senate District should remain as is. We are a Community of Interest that is highly interconnected because of our small towns and farming communities. We have similar needs/interests and we feel that our representatives/senators should reflect that. 
220,plan,,"shiawassee,saginaw",Gail Ross: Shiawassee State House ,Please keep the current 85th State House District together. We are a community of Interest that is very much dependent on each other. The small towns and townships near the M-52 corridor in Shiawassee County and Western Saginaw County share very similar interests. We encourage the commission to keep it the same. 
221,plan,,"shiawassee,eaton,clinton",Gail Ross: Shiawassee Senate District ,"Please keep our current Senate District together. We share a very interconnected Community of Interest. Our counties are mostly made up of small towns, farming communities, and rural/suburban areas. We believe our representation should keep our interests and needs as primary. "
222,plan,senate,"berrien,cass,van buren,southwest,south haven,st. joseph,southwest michigan,benton harbor,dowagiac,niles michigan",Tri-County State Senate ,"I believe that our state senator should be a person that can represent and advocate for the shared interests of the constituents they are elected to represent.   The current state senate district connects Berrien County to St. Joseph county through Cass County. While Berrien and Cass Counties have much in common, including the City of Niles which crosses the border, St. Joseph County is significantly different from Berrien. Instead Van Buren County should be included in the district as it was prior to the 2010 Gerrymander. St. Joseph County is different economically and culturally than the tri-county southwest Michigan area. The border between Cass and Van Buren is blurry, with many communities overlapping. On the Berrien side, South Haven and St. Joseph are similar tourism focused economies and the border cities of Watervliet and Hartford are very similar with much overlap between the two. A tricounty senate district would be more cohesive for representation on this basis than the way southwest Michigan is currently divided. "
223,plan,house,"berriencounty,berrien,southhaven,bentonharbor,lakeshore,southwest ,southwest michigan,saint joe,south haven,benton charter township",Benton Harbor to South Haven - Fair,"I have lived in Berrien County since I was 10-years-old. I want to make the case for why we need a connected district from Stevensville up to South Haven; African American representation on the state level is non-existent in Berrien County. Benton Harbor is over 90% African American; South Haven has a size-able African-American population; and Benton Charter Township also has a size-able latino population which has been under represented. Other areas do not have the possibility to create a district with this much representation in Berrien, instead of splitting them up and diluting down minority populations  - we should link them together and allow them to speak together. In order to make a representative map for the 79th state house district, you must link these three cities together and allow minority groups to have a real voice in the community they live in.  "
224,plan,,"pokagon band, #south haven,,berrien, #cass, #van buren,,benton harbor, #niles, ,dowagiac, #paw paw, ,new buffalo, #bridgman,cassopolis, #health ",Proposed Senate District in SW Michigan,"My State Senator should represent communities that have shared interests and cultural activities with the population they will represent. Since Van Buren and Cass Counties share a Health Department it is critical that their state senator represents those interests. All services that are shared between Berrien, Cass, and Van Buren Counties such as Head Start, the Area Commission on Aging, Health Departments, Intermediate School Districts, and migrant labor communities should be represented by someone who is from the area and familiar with the population and geographical needs of the district. Berrien and Van Buren counties are home to aging nuclear power plants and the needs for developing better alternative energy and accessible broadband. Many of the Pokagon Band Tribal members reside in the combined counties of Berrien, Cass and Van Buren and their state senator should be familiar with the needs and concerns of the tribe."
225,plan,,"southwest michigan,st. joseph/benton harbor,berrien county",Lakeshore community of interest for 79th,"The lakeshore communities have many economic, historical, cultural, educational and recreational similarities. The economic commonalities revolve around lakeshore specific industries such as recreation (boating, fishing, golfing, kayaking, hiking etc.), tourism (retail, restaurants, summer rentals, etc.) and lakefront real estate to name a few. Educationally there are unique student needs that span our lakeshore communities. For example our local community college, Lake Michigan College, has campuses in both Benton Harbor and South Haven and as a faculty member I regularly help students with needs such as transportation and course coordination. Having a representative who lives in this community and understands its unique needs and challenges would allow us a stronger voice. I live in St. Joseph and work in Benton Harbor and personally and professionally feel my community is not currently represented fairly with our current maps. Thank you for allowing this important citizen input and considering our needs."
226,plan,,"berrien,lakeshore ,benton harbor city,st joseph city,new buffalo,south haven,lake michigan,house",Michigan's southwest lakeshore district,"Southwest Michigan's lakeshore area in Berrien County, an area that streches along Lake Michigan from New Buffalo in the south to South Haven in the north, is an area that is unique from even the inland communities that are adjacent to it.  While not homogenous, the citizens of this area are largely united in their interests.  The area is heavily reliant on tourism and service industries.  In particular, the twin cities of St. Joseph and Benton Harbor, the ""Twin Cities,"" have a long, shared history and an intertwined future.  These communities live together and work together, and we should vote together as well.  As a longtime resident of the St. Joseph-Benton Harbor community, I urge you to adopt this district for the State House."
227,plan,,"faithcommunity,bentonharbor,southhaven,southwestmichigan,bentonchartertownship,ministry,outreach,faith,niles,community",Southwest Michigan Faith Community,"This map is the best way this district should be drawn considering the religious community. I have experienced and been part of many efforts to form coalition between faiths and denominations that strive towards community building and ministry to our community's most vulnerable people. By including South Haven in a district with the Benton Harbor, Benton Charter Township, Benton Heights, Niles community, you strengthen the connection between organizations such as the Southwestern Michigan Ministerial Alliance, the Interfaith Action community, and the Interdenominational Ministerial Alliance of Covert and Vicinity. With organizations like these, all connected through faith and commitment to using their faith to help uplift the community through fellowship and outreach, it becomes much easier to bridge the gaps where both organized faith and community building are much needed."
228,plan,,"van buren,berrien,cass,southwest michigan,tri county",Senate District Tri-county SWM,"As a long time resident of Berrien County, it is clear that Berrien, Van Buren and Cass counties are more closely linked than Berrien,  Cass and St. Joseph counties.  Berrien and Cass are naturally linked by their shared border.  Van Buren and Berrien are both part of the I-94 corridor and also share Lake Michigan shoreline.  Van Buren and Berrien counties also share educational resources at the K-12 level and have a lot interaction through high school sporting activities."
229,plan,,"shiawassee,clinton county,saginaw county ",State House Map ,"Rural portions of Shiawassee, Saginaw, and Clinton Counties. "
230,plan,,"berrien,southwest michigan,niles city,dowagiac city",South Berrien County Communities,"I think there is a natural link, or connection, between the cities of Niles and Dowagiac, as well as Niles and Buchanan—-seem to be sister cities to me.  The district I have drawn contrasts the rural areas of the County with the lakeshore cities; I see quite a difference there."
231,plan,,,State Senate Map ,"Included the primarily rural areas of central Michigan, which is made up of very common culture and interests. "
232,plan,,rockford city,Rockford resident area,circled around like communities
233,plan,,,Northern Kent County,northern kent county residents deserve to be represented by a common legislator
234,plan,,,Northern Lower MI - ,"Need to follow common sense boundaries balancing population and features.  No more of drawing screwy lines to include/exclude little populus areas- draw the lines so there is some standardization.  Follow county lines unless you need to divide to balance out populations.  For example costal populations vs. inland populations, "
235,plan,senate,,Janet in Ann Arbor,"I’m an Ann Arbor resident, working in the school system and close to retirement, and I’m very connected to people in the rural part of the county. I’ve had the occasion to teach music and to substitute teach in Dexter, Chelsea, and Saline, and to do musical presentations in Jackson schools, and I feel strongly that we have a common interest in having equitable access to education– to funds and budgets, but also to cultural enrichment opportunities.   I also see that friends in Chelsea, for example, don’t have the same access to services we need as we age, from broadband to accessible transportation. A dear friend, on a fixed income, still working as a church organist at 75, is paying three times what I pay for broadband, and has no access to public transport. These services are perhaps best managed at the county level, but our County government can only work as well as it’s permitted by the state and even the federal government. We need representation that recognizes the value of fair and well-run public services.   I’m also a volunteer working to ensure equitable access to vital services, including Covid-related services- testing, vaccination, and resources, in the eastern part of the county (Ypsilanti, Ypsi Township and Superior Township). Minority communities there are often overlooked, and while they are small, they constitute a community of interest that deserves to be represented in an inclusive manner.   For these reasons I’m hoping to see a US House district that includes the entire county and that reaches out to include the western reaches. We share recreational resources, and many folks commute along I-95 as far as Jackson. I also work with groups as far over as Battle Creek.  I feel that an urban/rural alliance will be of benefit to all, and reduce the alarming state of polarization we are now seeing. We should be talking to each other more! And belonging to the same District could help to make that happen. Here's one possibility: https://districtr.org/plan/26798  I think it would also make sense for the county to include two State Senate districts to be oriented around the same axis, uniting Washtenaw County around the central “engine” of Ann Arbor/Ypsilanti, and including Dexter and Saline on one side, Chelsea and Jacksonn on the other. Our community commutes readily among all these towns, and commerce flows among them as well. I easily go to parks in all of this area, and friends easily come to Ann Arbor for medical or other services, and for recreation as well. We should be together. One possible configuration:  https://districtr.org/plan/26786    "
236,plan,,"baycounty ,gladwin,arenac,tawas",Sandra from Bay County : State House Map,"I live in Northern Bay County and our community shares the same needs and interests as Bay, Gladwin, Arenac, and Iosco Counties. We are a Community of Interest with many small towns and rural farming communities that have very different needs that are quite different than Bay City, City of Saginaw , and the City of Midland. We need our voices represented by one elected official that puts our needs first. This map also respects county lines and is fairly compact. "
237,plan,,"west branch,baycounty ,arenac ",Larry from Bay County: State House Map,"The counties I have included in this map have very similar needs. We are a Community of Interest that is made up of agricultural communities, small towns, and villages that depend on each other for commerce and other needs. Please consider keeping them together in one state house district. This is well within reasonable compact lines and it respects county and township lines as well."
238,plan,,"huron ,tuscola ",Michael's Plan for Tuscola County ,Tuscola County and Huron County are already together in our state rep district. We have many farming communities that make up a Community of Interest in the thumb area. This sticks with county lines and is compact. 
239,plan,,"saginaw #shiawassee ,brant township",Peter's Saginaw County Senate District,"This respects county lines. It's two full counties that serves a well balanced community of interest. I live in Brant Township. We are a rural community, but this district serves rural, suburban, and urban interests. It follows the rule of compactness that the commission should follow if possible. "
