,id,link,type,pseudo_coi,title,text,area_text,area_name,num_areas,city
126,1,https://districtr.org/COI/23029,coi,,CAIR-Ohio-Usjid-Hilliard (partial),"Mostly white, older professionals + retired individuals, in addition to families.   Low crime. Quiet. ","Mostly white, older professionals + retired individuals, in addition to families. 

Low crime. Quiet. 

",CAIR-Ohio-Usjid-Hilliard (partial),1,Hilliard/Franklin
127,2449,https://districtr.org/COI/23030,coi,,CAIR-Ohio,,This community is densely populated with immigrants and racial minority groups. It is very family-oriented. There are a large number of minority business owners down Bethel Rd. These businesses cater to the surrounding immigrant community. New housing construction surrounds the area with a growing population of young professionals. ,CAIR-Ohio-Tala-Columbus/Dublin,1,
128,3,https://districtr.org/COI/23031,coi,,CAIR-Ohio-Amina-Hilliard,"Hilliard is perceived as a suburb with mostly families. Focused on school district community in this map. Important projects include building community rec center - this makes it exceptionally hard to mobilize Hilliard when it's so divided.   This map represents diverse community groups.   Concern with regards to some industry coming into town. Very close proximity to residential areas - additional unnecessary traffic in residential areas. Manufacturing plants and impact on families' safety, enjoyability of neighborhood.","Hilliard is perceived as a suburb with mostly families. Focused on school district community in this map. Important projects include building community rec center - this makes it exceptionally hard to mobilize Hilliard when it's so divided. 

This map represents diverse community groups. 

Concern with regards to some industry coming into town. Very close proximity to residential areas - additional unnecessary traffic in residential areas. Manufacturing plants and impact on families' safety, enjoyability of neighborhood.",CAIR-Ohio-Amina-Hilliard,1,Hilliard/Franklin
129,4,https://districtr.org/COI/23033,coi,,CAIR-Ohio-Deanna-Riverside Green Dublin,"Older neighborhood with a diverse community. Multiple races, religions, cultures, and languages in this area. Mixture of family and older individuals. School district has told us it is considered lower income, due to immigrant population and number of free lunches requested in local schools. But I don't see this in the neighborhood. Lots of green space available in the community and variety of shops and restaurants in the area.","Older neighborhood with a diverse community. Multiple races, religions, cultures, and languages in this area. Mixture of family and older individuals. School district has told us it is considered lower income, due to immigrant population and number of free lunches requested in local schools. But I don't see this in the neighborhood.
Lots of green space available in the community and variety of shops and restaurants in the area.",CAIR-Ohio-Deanna-Riverside Green Dublin,1,Dublin/Franklin
130,5,https://districtr.org/COI/23034,coi,,CAIR-Ohio-Oakley-Whitney,"Oakley has become a popular neighborhood for young professionals and young families with around 10-13,000 people.  Lots of new residents and development over past 5 years.   It has a mixture of rental and owned properties, media price of both is higher than many other neighborhoods.  Community members are typically upper middle income. Majority are white and speak English.  Some issues concerning residents over the past year include sewage backup and hazardous power lines. Oakley has seen a dramatic rise of new real estate developments in recent years. This has led to some residents being concerned about housing affordability and older neighbors on fixed incomes being pushed out of their homes.","Oakley has become a popular neighborhood for young professionals and young families with around 10-13,000 people.  Lots of new residents and development over past 5 years. 

It has a mixture of rental and owned properties, media price of both is higher than many other neighborhoods.

Community members are typically upper middle income. Majority are white and speak English.

Some issues concerning residents over the past year include sewage backup and hazardous power lines. Oakley has seen a dramatic rise of new real estate developments in recent years. This has led to some residents being concerned about housing affordability and older neighbors on fixed incomes being pushed out of their homes.
",CAIR-Ohio-Oakley-Whitney,1,Cincinnati/Hamilton
132,6,https://districtr.org/COI/23044,coi,,CT Map of North-Central Morrow County,,"This region of Morrow County sits between four towns--Lexington, Mount Gilead, Galion, and Marion. The people who live in this area are mostly farmers or houses with a decent amount of land, though in the center there is a gated lake community with fifty percent permanent residents, fifty percent vacation/second homes. 

There are no grocery stores or shopping or commercial development in this region; people who live here must travel into any of the four nearby towns for resources. 

Environmental resources in the region include Candlewood Lake (though it is manmade), and a lot of streams and wooded areas throughout (that aren't used for farming). Mostly white (97.3%). ",North-Central Morrow County,1,Columbus
133,8,https://districtr.org/COI/23047,coi,,"Granville, OH",,"College town. ""Old money"" wealthy people live in Granville, plus college students, surrounded on all sides by rural, working class people.

Overwhelmingly white. 

Denison University is an influential force in the community.

There's tension between those who own homes in Granville, the college, and the rural working class that butt up against town limits, and come into town for the grocery store or the old mill. ","Granville, OH",1,"Granville, "
134,10,https://districtr.org/COI/23049,coi,,Ohio University Neighborhood ,,The people who live in this area are mostly students and Ohio University faculty. There is Strouds Run State park here which is filled with hiking trails and other recreational activities. There are numerous local businesses encompassed here. There are a lot of wooded areas around here.  It is about 85% white. Athens county is a very poor community in general and rural outside the immediate university area. Many of the people who live here are university students.,Athens City,1,
135,2448,https://districtr.org/COI/23420,coi,,AOTL-Ohio,,"A lot of German ancestry, hard-working people, very White, Catholic. Older, retired. Celina is the county seat of Mercer County, population of 10,000 in Celina, scattered around the county.  Folks have second homes at Grand Lake St. Marys. Number one in alcohol consumption per capita in Ohio. Employers: manufacturing, healthcare, education, seven school districts in the county. Small factories that support Honda Assembly, small start-ups. English is the primary language. People need to have cars to get around the community. Walmart and dollar stores are the primary shopping options. 

Important places: event center (weddings), American Legion, Eagles, Moose Club, churches, ""land of the cross-tipped churches,"" Grand Lake St. Marys is a tourist attraction, lots of restaurants and bars around the lake. A lot of farming, number one agricultural community in Ohio, feed mill. 

Schools each have levies, state facilities program have provided for new schools, the Grand Lake St. Marys needs to stay clean for drinking water for tourism. Environmental issues around having major agriculture. No public transit. Community needs broadband internet access, especially for remote learning/education. 

Issues among elected officials: right-wing/red county, anti-vaxx programming from the elected officials. Right to Life was founded in Mercer County. COVID impacted Mercer County, elected officials would not wear masks. Community members are concerned about COVID outbreaks due to low vaccinations/mask refusal. ","Celina, Ohio",1,
136,2447,https://districtr.org/COI/23421,coi,,AOTL-Ohio,,"Several retirement and nursing homes, lots of shopping on Morse Rd. and 161, ethically diverse (Somalians, other African immigrants, Nepalese population). Not a lot of single family homes, assisted living, apartment buildings, and nursing homes. A lot of small businesses, Northland Shopping Center, government jobs ( Board of Elections), Ohio government jobs. Lots of languages spoken, English is the most commonly language. Linden is blending in with the community, economy is coming up from Linden. The Linden neighborhood is spreading out. Westerville Rd is a border that goes out to Westerville and down to North Linden. North Linden has more single family homes. 

Several parks, Columbus City Parks, Columbus Humane Society, there used to be a lot more shopping, there used to be more department stores (the department stores moved to the suburban mall). The Columbus mega-church The Vineyard has a large church in the neighborhood. Food pantries spread out around town. 

No good sidewalks in the whole neighborhood, not accessible to folks in wheelchairs, split between Columbus and Westerville making city resources difficult to access. 

The neighborhood has changed a lot, lots of commerce has moved out, families have moved out to the suburbs. Very gerrymandered precincts. ",Morse Park East,1,
137,2446,https://districtr.org/COI/23423,coi,,AOTL-Ohio,,"This community is split between Dublin and Worthington school districts, but in Columbus city. 

Family area, southern part of CD-12, mostly middle-class suburban, mostly apartments than single family homes. Immigrants and New American communities, Spanish speakers. Most people either work in Dublin or downtown Columbus. Decent walkability. 

Fair number of churches, a lot of big high schools (Kilbourne and Scioto), lot of shopping along Sawmill (car dealerships!), lot of restaurants, mostly residential, close to Delaware County (much more conservative). 

Beth Liston is the State House Rep, Stephanie Kunze is the State Senator, Balderson is the Congressional Rep, Ward 74. 

Lots of land waiting to be development. Community concerns about managing rapid growth. Safe community to live in, low crime-rate, nearest CPD station is a few miles away. ",Northwest Franklin County,1,
138,17,https://districtr.org/COI/23640,coi,,"Anna Cifranic- Richmond Heights, OH","Richmond Heights, OH Community Map","Richmond Heights is a suburb of Cleveland bridging lower income communities like East Cleveland and Euclid to higher income communities like Highland Heights and Willoughby Hills. The population is almost 48% white, 44% African-American, 4% Asian-American, and 2% Hispanic or Latino.  RH has a community hospital and medical facilities located on the north side of the city, and access to larger medical institutions via car or bus  that are less than 12 miles from the city center.  Many people in RH and the surrounding communities are food insecure. RH has no grocery stores, people have to leave the community and go to surrounding cities to buy fruits, vegetables and pantry staples. However, there are gas stations and fast food establishments within walking distance of most homes and apartment buildings.",Richmond Heights,1,Richmond Heights
139,16,https://districtr.org/COI/23641,coi,,Greater Lima Community,Quick and dirty.  I hope it is helpful,"Urban Food Desert
2 hospitals
bus system
University of Northwest Ohio
Rhodes State College
OSU Lima
Cup Church's United Food Pantry
West Ohio Food Bank
Lima Public Library
Lima City Parks
Johnny Appelseed Metro Parks
Lima City Pool not opening this year
Astrology center
a movie theatre recently opened
Ohio Theatre live performance, new owners may open soon.
Encore Theatre, Community theatre
Rotary Pavilion in Faurot Park Lima City Park
New proposed pavilion downtown also Rotary raising funds now
Rhodes State moving downtown new building being build now
Birch Solar project in the works for Allen and Auglaize counties.  Fighting among community members.  Would provide large community investment with little expenditure.  SB 52 inhibits possibilities
Husky Refinery
Marathon pipeline
Buckeye Pipeline
West side of the city more financially stable
downtown and east financially challenged
Bradfield Center",Community 1,1,Lima
140,29,https://districtr.org/COI/23957,coi,,CAIR Ohio - Mariam - Westerville Area," mostly white, middle / upper-middle class area. Many students attend Olentangy schools since there are lots of families that live here. I would say the nature areas and Westerville uptown area are the main areas where people congregate"," mostly white, middle / upper-middle class area. Many students attend Olentangy schools since there are lots of families that live here. I would say the nature areas and Westerville uptown area are the main areas where people congregate",CAIR Ohio - Mariam - Westerville Area,1,Westerville / Delaware
141,30,https://districtr.org/COI/23958,coi,,CAIR-Ohio-Khalid-Noor/Dublin,"This community is highly family based with a rise in young professionals. The community is White dominated with a large Muslim population in the surrounding areas of Noor Islamic Cultural Center. Made up of many homes, owned and rented, but includes many apartment buildings with a mix of townhomes and condos as well. This area is growing quickly population wise.","This community is highly family based with a rise in young professionals. The community is White dominated with a large Muslim population in the surrounding areas of Noor Islamic Cultural Center. Made up of many homes, owned and rented, but includes many apartment buildings with a mix of townhomes and condos as well. This area is growing quickly population wise.",CAIR-Ohio-Khalid-Noor/Dublin,1,Dublin/Franklin
142,28,https://districtr.org/COI/23959,coi,,CAIR-Ohio-Iman-Noor,This community is built up of a lot of middle-class families but the young professional population is growing. Lots of new residences and urban development in the past 5 years.  Primarily white with pockets of minorities,"This community is built up of a lot of middle-class families but the young professional population is growing.
Lots of new residences and urban development in the past 5 years. 
Primarily white with pockets of minorities",CAIR-Ohio-Iman-Noor,1,Hilliard/Franklin
143,32,https://districtr.org/COI/23960,coi,,New Albany Area,,"This community is mainly comprised of white residents in the upper/middle class. Most residents are family oriented and very involved with children's activities and schooling. 
Issues concerning this community include diversity+inclusion and the growing number of corporations moving to New Albany.    
",CAIR-Ohio - Bilan ,1,Franklin
144,31,https://districtr.org/COI/23961,coi,,CAIR-Ohio- Uroosa Khan,"The community is filled with many families, young professionals, and very diverse groups of kids. This community is filled with diversity in many parts, schools and grocery stores are filled with all ethnicities of people.    Some neighborhoods are dominantly white and some neighborhoods are dominantly muslim. There are some places within this community that have diverse neighborhoods but most neighborhoods with less income are more immigrant majority.   Many of these neighborhoods are middle class and higher. Neighborhoods that are majority immigrant and in apartment areas are lower class or middle class. Noor neighborhood  and around there is majority middle class or higher. ","The community is filled with many families, young professionals, and very diverse groups of kids. This community is filled with diversity in many parts, schools and grocery stores are filled with all ethnicities of people.
 
 Some neighborhoods are dominantly white and some neighborhoods are dominantly muslim. There are some places within this community that have diverse neighborhoods but most neighborhoods with less income are more immigrant majority. 

Many of these neighborhoods are middle class and higher. Neighborhoods that are majority immigrant and in apartment areas are lower class or middle class. Noor neighborhood  and around there is majority middle class or higher.
",CAIR-Ohio- Uroosa Khan,1,Franklin
145,41,https://districtr.org/COI/24442,coi,,CAIR Ohio-Sweetwater-Lina,,"residential and shopping area in far western side of Columbus, Ohio",CAIR Ohio-Sweetwater-Lina,1,Hilliard
146,44,https://districtr.org/COI/24445,coi,,CAIR-Ohio-NorthernNewAlbany-EmmaQazi,"This is a map of northern New Albany, a suburb in Central Ohio.","The area is dense residential, containing mostly families.

The area is mostly white, with a small amount of racial and religious diversity. Issues center around education because of the large amount of children in the area. Safety is also a major priority in this neighborhood.

The average family in this area is middle/upper-middle class.

Children in this area attend the New Albany Plain Local School District, a highly-ranked public school district.",CAIR-Ohio-NorthernNewAlbany-EmmaQazi,1,New Albany/Franklin
147,48,https://districtr.org/COI/24446,coi,,"CAIR-Ohio, Greater Dublin Area, Hajira","This area covers the general Dublin, Hilliard, and Northwest Columbus areas. It is considered to be more ""suburban"", and although it is considered a predominantly white area, it includes a very large Muslim and Asian community.   Majority of the housing includes designated neighborhoods with houses, but there has been a significant increase in the construction of apartment complexes, townhomes, and condos. A lot of the housing is relatively new, and is sometimes surrounded by very big open fields. There is also a huge train track that runs behind a lot of the neighborhoods.   This area is home to the biggest suburban high schools in the Central Ohio area, including Hilliard Darby and Davidson. There is also a community college branch that has become more popular in the recent years.   One of the more heavy areas is the newly built Dublin Bridgepark neighborhood, which has a lot of young people and is home to a lot of businesses and restaurants. ","This area covers the general Dublin, Hilliard, and Northwest Columbus areas. It is considered to be more ""suburban"", and although it is considered a predominantly white area, it includes a very large Muslim and Asian community. 

Majority of the housing includes designated neighborhoods with houses, but there has been a significant increase in the construction of apartment complexes, townhomes, and condos. A lot of the housing is relatively new, and is sometimes surrounded by very big open fields. There is also a huge train track that runs behind a lot of the neighborhoods. 

This area is home to the biggest suburban high schools in the Central Ohio area, including Hilliard Darby and Davidson. There is also a community college branch that has become more popular in the recent years. 

One of the more heavy areas is the newly built Dublin Bridgepark neighborhood, which has a lot of young people and is home to a lot of businesses and restaurants. ","CAIR-Ohio, Greater Dublin/Hilliard Area",1,Franklin
148,2445,https://districtr.org/COI/24447,coi,,CAIR-Ohio,,"Oakley has become a popular neighborhood for young professionals and young families with around 10-13,000 people.  Lots of new residents and development over past 5 years. 

It has a mixture of rental and owned properties, media price of both is higher than many other neighborhoods.

Community members are typically upper middle income. Majority are white and speak English.

Some issues concerning residents over the past year include sewage backup and hazardous power lines. Oakley has seen a dramatic rise of new real estate developments in recent years. This has led to some residents being concerned about housing affordability and older neighbors on fixed incomes being pushed out of their homes.
",CAIR-Ohio-Oakley-Whitney,1,
149,45,https://districtr.org/COI/24448,coi,,CAIR-Ohio-Centerville- Amina Wase ,"This is a majority white suburban community of Dayton. It is a fairly safe area.  Most community concerns are based around community upkeep, education, and increased transportation resources.   In a town hall meeting, we would most likely discuss the concerns of citizens regarding community resources and support.   There is a good amount of an Asian and Black population. Certain neighborhoods such as ""Waterbury Woods"" have a large Asian population. There are 2 preschools, 6 elementary schools, 3 middle schools , and 1 high school.  The High School values inclusivity and getting children to reach their full educational potential.  Many Asians come from wealthy backgrounds and are extremely high-achieving individuals.  ","This is a majority white suburban community of Dayton. It is a fairly safe area.

Most community concerns are based around community upkeep, education, and increased transportation resources. 

In a town hall meeting, we would most likely discuss the concerns of citizens regarding community resources and support. 

There is a good amount of an Asian and Black population. Certain neighborhoods such as ""Waterbury Woods"" have a large Asian population. There are 2 preschools, 6 elementary schools, 3 middle schools , and 1 high school.  The High School values inclusivity and getting children to reach their full educational potential.

Many Asians come from wealthy backgrounds and are extremely high-achieving individuals. 
",CAIR-Ohio-Centerville- Amina Wase ,1,Centerville / Montgomery County
150,51,https://districtr.org/COI/24449,coi,,Cair-Ohio - Hilliard - Shireen Shaaban ,,"This area is a dense residential area with families and a somewhat diverse population. Area is majority white but also includes a fairly diverse community. 

There are approximately 3 different high schools in the area within the same district that have a diverse student body. 

",CAIR-Ohio - Hilliard - Shireen,1,Hilliard/Franklin
151,46,https://districtr.org/COI/24449,coi,,Cair-Ohio - Hilliard - Shireen Shaaban ,A map of the Hilliard area that includes the hotspots of the community as well as the dense residential areas included within the community. ,"This area is a dense residential area with families and a somewhat diverse population. Area is majority white but also includes a fairly diverse community. 

There are approximately 3 different high schools in the area within the same district that have a diverse student body. 

",CAIR-Ohio - Hilliard - Shireen,1,Hilliard/Franklin
152,50,https://districtr.org/COI/24451,coi,,CAIR-Ohio-Roscommon Area-Aadil,,"The suburban neighborhood attracts many white people (many which are retired both in the neighborhoods as well as in the retired home), immigrants who work at the local hospital, and very few minorities. Because it is quite suburban, there is not many who reside in this area. Of the ~1000 who reside in this area, many have recently moved here in the past decade. 

Some notable locations include the golf course as well as the country club where many people in the neighborhoods tend to go there everyday on the weekday. Kids tend to go the eagle city park and Splash zone. 

",CAIR-Ohio-Roscommon Area-Aadil,1,Springfield
153,49,https://districtr.org/COI/24453,coi,,CAIR-Ohio-Hilliard-Durya Nadeem-Khan,"Predominately white suburban area for families. Diversity has increased in the recent years. Most frequent language spoken is English.   Issues needed to be address are road upkeep (potholes) and transportation throughout the city for individuals without access to cars.  Important areas include various schools, gyms, grocery center, masjid Noor (NICC-Noor Islamic Cultural Center).   Most students after graduation from high school go to Ohio State University.","Predominately white suburban area for families. Diversity has increased in the recent years. Most frequent language spoken is English. 

Issues needed to be address are road upkeep (potholes) and transportation throughout the city for individuals without access to cars.

Important areas include various schools, gyms, grocery center, masjid Noor (NICC-Noor Islamic Cultural Center). 

Most students after graduation from high school go to Ohio State University.",CAIR-Ohio-Hilliard-Durya Nadeem-Khan,1,Hilliard/Franklin
154,52,https://districtr.org/COI/24456,coi,,CAIR-Ohio- New Albany Area- Bilan ,This community is mainly comprised of white residents in the upper/middle class. Most residents are family oriented and very involved with children's activities and schooling.  Issues concerning this community include diversity+inclusion and the growing number of corporations moving to New Albany.    ,"This community is mainly comprised of white residents in the upper/middle class. Most residents are family oriented and very involved with children's activities and schooling. 
Issues concerning this community include diversity+inclusion and the growing number of corporations moving to New Albany.    
",CAIR-Ohio - New Albany Area- Bilan ,1,
155,60,https://districtr.org/COI/24825,coi,,"CAIR-OHIO, Northeast Central Columbus","A dense residential area with a majority Black population, this community is home to a diverse population including African-Americans and plethora of African Immigrants. A big aspect of this area is the heavy practice of Islam, and a range of mosques in the area. Other faiths are represented and many churches are in the area as well. There are a range of shopping and commercial areas, government agencies and cultural institutions all important to the vitality and health of this community. The area represents 4 public high schools. ","Reflecting the neighborhoods of Mifflinville, North Linden and general Northeast Columbus, the community is a dense residential area with a plurality black population and diverse set of immigrant communities hailing from sub-saharan Africa. 

Primary issues in the community include area development, infrastructure, transportation, education and access to critical childcare and family planning services. 

The area includes a heavily practicing Muslim population, mainly Somali-Americans. Other African immigrant groups are present that practice Islam as well. 

Issues pertinent to community members are one's related to policing, accessible infrastructure and healthcare, and support for living costs. Community members may want to address transportation and connectivity to the greater Columbus region.

Important areas of business and commerce include Morse RD shopping centers, Northern Lights and Easton Town Center.",Northeast Central Columbus ,1,Franklin
156,2444,https://districtr.org/COI/26025,coi,,AOTL-Ohio,,"East Walnut Hills is an older community, one of the first communities in Cinci. It's on the hillside from the downtown. Full of homes from the 19th century and apartments. Undergoing on a big transformation, transitions, gentrification, in-flux.  Madison Rd is the center of the neighborhood,  Columbia Parkway is the southern border. Northern part of the community is transitioning and varies for different community members. O'Bryonville is combining with East Walnut Hills. 2020 election was a different election. Precincts changed and  were moved further away from the community (from a community center in the center of town to a church on the outside of the community). 

Most folks work in downtown Cinci, relatively close to Walnut Hills public schools, up-and-coming pedestrian area with restaurants and shopping on Woodburn. Owl's Nest Park is an important community meeting place.  

Affordable housing is a big issue. Neighborhood is transitioning, if you don't own a home, rental prices are going up. Rental houses are being torn down to replace with new houses. Bus routes are very long, 1.5 hours to go 4 hours, bad public transportation, especially in the evenings. 

Safe neighborhood, element of drug dealing, lower gun violence then the neighboring neighborhoods. ",East Walnut Hills,1,
157,2443,https://districtr.org/COI/26027,coi,,AOTL-Ohio,,"Lived here for 25 years. Rural conservative community, transforming from farmland to housing developments. Voting precincts are accessible. Big disparity between white and blue collar workers, becoming white collar workers moving in to the community, very conservative. White collars workers are commuting to Akron or Cleveland from Medina. 

Medina Square has city hall and is the hub of the community. Library, schools, churches, and other municipal buildings. 

A gas station is coming in and the community is trying to shut the down to maintain the ruralness of the community. Excellent school system, Highland School District rates one of the top in the nation and the surrounding school districts are all well-rated. 

A very white community, not very diverse, heavy Trump community. Medina is the city as well as the county, made up of lots of townships. 

No public transportation, safe community, first responders have noted drug issues (opiates), social services for drug use and battered women. ",Medina ,1,
158,1286,https://districtr.org/edit/26615?event=fair-distri,coi,,Western Lucas County map,Area includes Anthony Wayne School District and some adjacent areas,"Anthony Wayne community includes Whitehouse, Monclova and Waterville parts of Swanton and several townships. Anthony Wayne local school district- pulls together these smaller communities.  It was named after General ""Mad"" Anthony Wayne who won the Battle of Fallen Timbers for the young United States.  
People from Anthony Wayne see themselves as down to earth and having more traditional values.  
",Lucas County Anthony Wayne Area Community,1,lucas county
159,2442,https://districtr.org/COI/26632,coi,,AOTL-Ohio,,"Rural area, part of Greene county, very Republican. Low voter turnout and voter registration rates. OH-10, lumped in with Dayton and Montgomery County, not a lot of Democratic campaigning in the area, area gets left out of Democratic party campaigns. 

Middle-class, very white, folks commute to Dayton and Beavercreek and Cinci. 

Residents of Bellbrook go to community events in Centerville and Beavercreek. Downtown Bellbrook has some businesses and festivals, but not many. A lot of churches in the community. 

Greene County issues: lots of racism,   school levies passed this year (but barely), huge opposition group (with one rich local donor) caused schools to make cuts. Community struggles with drug addiction. 

Downtown Dayton shooter was from Bellbrook, threatening statements were not taken seriously by police or school, also had a drug problem. 

Lack of mental health services. 

Housing market is higher than average, houses go quickly on the market, not a lot of apartments or townhouses. The apartments that do exist have a bad reputation, bu Bellbrook has a fairly low crime rate. ",Bellbrook ,1,
160,2441,https://districtr.org/COI/26649,coi,,AOTL-Ohio,,"Gahanna is a suburb of Columbus, very diverse, leans Republican (but is changing). Access to the expressway and the airport. Mostly middle class with both working and professional class, located close to great healthcare systems (OSU, Ohio Health, Cardinal, Mount Carmel), excellent public schools (levy recently passed), school district also goes into Jefferson Township and some parts of Columbus. 

Creekside is an important community area, hub of the arts district. Greet public park system and a Columbus metro park nearby. Brand new library is being built and a new high school is being built and a new elementary was just built on the Southeast side. Ohio State Herb Center (The Herb Capital of Ohio). 

Lot of churches in the area (St. Matthews, Stonybrook Methodist, a variety throughout town). 

Gahanna is currently split into two Congressional Districts (OH-12 and OH-03).  Lots of townships are in Gahanna and Gahanna blends in with Columbus, Reynoldsburg, Blacklick, and New Albany . 

The community is struggling with drug issues, a mix of single-family and multi-family units (community prefers. single-family). Communities are concerned with policing and would like police reform. Gahanna had its first Pride event and Pride resolution in 2021. 

School districts are highly desired and is a closed school district. COTA is available in Gahanna. Community has a great YMCA.  Climate change concerns: limited recycling options, citizens have to take recycling out of the community.

Gahanna has three creeks including the Rocky Fork Creek which has increased in flood frequency. Moderately well-maintained and treated by the community. 

",Gahanna ,1,
161,2440,https://districtr.org/COI/26972,coi,,OOC.JS.COMM,,"Straddles two cities - Cincinnati and Norwood
Many people who have lived there a long time (used to work at factories), Young professionals/new families
Old homes being renovated
Lots of renters (more than owners?)
Good number of Jewish families
Crossroads Church -- many members, big institution
Car-dependent, but it's possible to use transit. Bus is becoming more frequent.
Lots of Churches
Lots of beer and restaurants
New food hall
Lots of new small businesses
Also lots of big box shopping in the three shopping centers (Oakley Station, Rookwood, Hyde Park Plaza)
Formerly design community
Family-oriented
Walkable
Affordability (cost of living going up)
Supply of rental properties
Over-development
Schools - many kids going to Hyde Park Elementary but it's overcrowded. Might need a new elementary school.
",OOC.JS.COMM,1,
163,648,https://districtr.org/COI/28058,coi,,Gahanna ,"Gahanna is in a transition in terms of demographics, white but increasing diversity (African-American, South and East Asians). English is the prominent language. The school district serves the city of Gahanna and nearby township. Lots of folks work in tech in Gahanna and commute to Columbus.   Creek Side is a social and community gathering space, located in historic downtown in Old Gahanna. No community center, two municipal pools.   Parks need more support, a nice park system, but it is under-budgeted. In the process in getting new streets, even nicer neighborhoods don't have sidewalks. Infrastructure problems with flooding. No real public transportation.   Neighborhood crime is an issue in parts of the city. There is some police targeting, but no incidents of issues of over-force. Small grassroots arts group is not getting any support from the city in terms of facilities or budget. Lack of a community focus, there's no sense of community. ","Gahanna is in a transition in terms of demographics, white but increasing diversity (African-American, South and East Asians). English is the prominent language. The school district serves the city of Gahanna and nearby township. Lots of folks work in tech in Gahanna and commute to Columbus. 

Creek Side is a social and community gathering space, located in historic downtown in Old Gahanna. No community center, two municipal pools. 

Parks need more support, a nice park system, but it is under-budgeted. In the process in getting new streets, even nicer neighborhoods don't have sidewalks. Infrastructure problems with flooding. No real public transportation. 

Neighborhood crime is an issue in parts of the city. There is some police targeting, but no incidents of issues of over-force. Small grassroots arts group is not getting any support from the city in terms of facilities or budget. Lack of a community focus, there's no sense of community. ",Gahanna,1,
164,2439,https://districtr.org/COI/28065,coi,,AOTL-Ohio,,"This area is diverse, racially and culturally diverse. New American community. Whitehall is in the Columbus City Schools, a diverse school district. It's a working class to middle class community, some areas could be considered upper-middle class, two-wage earning households. 

It's close to hospitals, grocery stores, and restaurants. Lots of freeway access. Desirable area if you like freeway access and diversity.  

Whitehall Community Park is a gathering place, strong jazz music community, the airport is nearby, Reynoldsburg (a suburban community)  is nearby.  There's a new YMCA in Whitehall. 

Very family oriented, lots of children. Friendly community, could ask folks for directions, warm and inviting community. 

Whitehall seems to have issues with drug activity, addiction and related issues, need more drug treatment resources and support. ",Whitehall,1,
165,1038,https://districtr.org/COI/28166,coi,,OOC.FW.COMM,,"Largely African-American population/resident

Area becoming gentrified from University Circle to the VA Hospital, Cleveland Museum of Art,  & Cleveland Institute of Music. 

Important Places: Glenville HighSchool, Louise Stokes Cleveland VA Medical Center, 

History: Used to be a heavily Jewish Community. Glenville Riots took place here. 
What is Missing: Redefining the culture - There are local attractions that don't feel accessible to the residents that live in this community. There feels like an invisible line that indicates ""this is not for us"",  meaning not for the Black community the attractions are in. 

Main Issues: Violence, Food Deserts (lack of access to health foods and full grocery store). 

Large population of renters - most  of the owners of these properties live in others states. 

What anchors this community: Resilience. Despite of the challenges, there is hope for progress. 

",Glenville - FW,1,Cuyahoga 
166,1094,https://districtr.org/COI/28283,coi,,CAIR-Ohio-Masjid Omar Community-Salina,,"Compact and diverse family-oriented neighborhood consisting of mainly minorities. Masjid Omar is currently under construction, and it has been stalled for more than a year due to funding issues.",CAIR-Ohio-Omar Community-Salina,1,Columbus
167,1096,https://districtr.org/COI/28284,coi,,CAIR-Ohio-,,"Many different ethnicities, mainly upper class ",CAIR-Ohio-,1,Dublin
168,1100,https://districtr.org/COI/28284,coi,,CAIR-Ohio-,"Many different ethnicities, mainly upper class ","Many different ethnicities, mainly upper class ",CAIR-Ohio-,1,Dublin
169,1095,https://districtr.org/COI/28285,coi,,CAIR-Ohio-Dublinshire-Salam,,"There are good schools in the area, services such as a library, different grocery stores,  and recreational center.",Car-Ohio-Dublinshire-Salam,1,City: Dublin County: Franklin
170,1097,https://districtr.org/COI/28286,coi,,CAIR-Ohio-Dublin/Columbus/Hilliard-Sarah,"This map is a representation of my community and the people around me. The important locations include grocery stores, libraries, schools, and religious centers that people in my community use. This community has a large Muslim population and has many schools and cultural diversity. ","This community is near the religious center of NICC. This area contains many muslims who share similar opinions and voices. This area is lacking businesses and stores, and expanding on housing. Another issue is the schooling districts because despite the shared community the school districts vary in this region between Columbus and Hilliard.",CAIR-Ohio-Muslim-Community,1,Dublin
171,1101,https://districtr.org/COI/28287,coi,,Columbus, ,"Family oriented, Similar language spoken. shared cultural common. Large Muslim populations. small Business owners.",Somali Community,1,
172,1098,https://districtr.org/COI/28289,coi,,CAIR-OH Hilliard Parents,Family oriented community with school aged kids .  Young professionals.  Dublin recreation center.  Core curriculum in school matters . Streets are small for the amount of growth in the area from a commercial stand point. ,"Family oriented community with school aged kids . 
Young professionals. 
Dublin recreation center. 
Core curriculum in school matters . Streets are small for the amount of growth in the area from a commercial stand point. ",CAIR-OH Hilliard Parents,1,
173,1099,https://districtr.org/COI/28290,coi,,CAIR-Dublin Ohio ,"This map includes my Dublinshire neighborhood, which is a family oriented area of similiar socio-economic level in Dublin, and the surrounding area that services my neighborhood including local grocery store, library, shopping, rec center, school, and mosque. ","family oriented area of Dublin that is of similiar socio-economic level - and surrounding area that services residents including library, grocery store, rec center, shopping area and local mosque. ",Cair Ohio Dublin Ohio Muslim Community,1,Dublin/Franklin
